city,state_id,state_name,id
Punta Gorda,FL,Florida,1840015122
Deerfield,IL,Illinois,1840011167
Badger,AK,Alaska,1840023690
Seminole,FL,Florida,1840015978
Twinsburg,OH,Ohio,1840000805
Ellensburg,WA,Washington,1840019841
Wallingford Center,CT,Connecticut,1840073312
Naples,FL,Florida,1840015131
Lumberton,NC,North Carolina,1840015531
Claremore,OK,Oklahoma,1840019049
Five Forks,SC,South Carolina,1840013491
Maitland,FL,Florida,1840015964
Hermiston,OR,Oregon,1840019915
White Oak,OH,Ohio,1840034164
Sartell,MN,Minnesota,1840008886
Preakness,NJ,New Jersey,1840144111
Merrifield,VA,Virginia,1840006019
Maumelle,AR,Arkansas,1840015510
Pinole,CA,California,1840020281
Tinton Falls,NJ,New Jersey,1840001368
Matteson,IL,Illinois,1840011293
Dixon,CA,California,1840018859
Arcata,CA,California,1840009422
Alsip,IL,Illinois,1840010147
Cumberland,MD,Maryland,1840005621
